"OUTLET","CORRELATION","OUTLET_PRESS_SIZE","QUANTITY_OF_SEASONS","OUTLET_SOCIAL_SIZE","FINAL_INDEX","RANK"
"ladailynews",10,1,1,1,3.2,22
"losangelesdailynews",7,1,4,1,3.2,22
"medialifemagazine",9,1,2,1,3.2,22
"mediapost",9,1,2,1,3.2,22
"metrophiladelphia",10,1,1,1,3.2,22
"monstersandcritics",6,1,5,1,3.2,22
"movieweb",5,2,4,2,3.2,22
"multichannel",7,1,4,1,3.2,22
"ocregister",7,2,3,1,3.2,22
"pajiba",8,2,2,1,3.2,22
"philly",5,3,4,1,3.2,22
"programminginsider",10,1,1,1,3.2,22
"providencejournal",10,1,1,1,3.2,22
"rochesterdemocratandchronicle",10,1,1,1,3.2,22
"sanjosemercurynews",8,1,3,1,3.2,22
"scifinow",10,1,1,1,3.2,22
"slantmagazine",9,1,2,1,3.2,22
"tennessean",10,1,1,1,3.2,22
"tvjunkies",10,1,1,1,3.2,22
"tvmediainsights",9,1,2,1,3.2,22
"tvweb",9,1,2,1,3.2,22
"undeadwalking",6,1,5,1,3.2,22
"unrealitytv",10,1,1,1,3.2,22
"zimbio",4,5,3,1,3.2,22
"amnewyork",8,1,2,1,3,23
"asburyparkpress",8,1,2,1,3,23
"blastr",5,2,4,1,3,23
"channelguidehopper",8,2,1,1,3,23
"chicagosuntimes",8,1,2,1,3,23
"courierjournal",8,1,2,1,3,23
"dorkshelf",9,1,1,1,3,23
"entertainmentwise",9,1,1,1,3,23
"escapistmagazine",9,1,1,1,3,23
"gazette",7,1,3,1,3,23
"geektyrant",8,1,2,1,3,23
"insidepulse",9,1,1,1,3,23
"lasvegasreviewjournal",4,3,4,1,3,23
"metrous",9,1,1,1,3,23
"mic",4,5,2,1,3,23
"nerdreactor",6,1,4,1,3,23
"newsarama",7,2,1,2,3,23
"nj",4,5,2,1,3,23
"palmbeachpost",9,1,1,1,3,23
"philadelphiainquirer",6,2,3,1,3,23
"plaindealer",9,1,1,1,3,23
"postgazette",6,2,3,1,3,23
"ringer",8,1,2,1,3,23
"sacramentobee",9,1,1,1,3,23
"sanfranciscochronicle",5,1,5,1,3,23
"slanted",8,1,2,1,3,23
"sltrib",8,2,1,1,3,23
"startribune",3,4,4,1,3,23
"threeifbyspace",8,1,2,1,3,23
"tonightshowwithjimmyfallon",7,3,1,1,3,23
"torontosun",5,2,4,1,3,23
"tvweek",6,1,4,1,3,23
"tvweeklynow",7,1,3,1,3,23
"actionfigureinsider",7,1,2,1,2.8,24
"alibi",8,1,1,1,2.8,24
"amny",6,1,3,1,2.8,24
"atlantajournalstitution",4,2,4,1,2.8,24
"breacast",8,1,1,1,2.8,24
"broadcastingcable",5,1,4,1,2.8,24
"calgaryherald",6,1,3,1,2.8,24
"channelguide",8,1,1,1,2.8,24
"channelguidemag",6,1,3,1,2.8,24
"channelguidemagblog",7,1,2,1,2.8,24
"chicagotribune",2,4,4,1,2.8,24
"cincinnatienquirer",8,1,1,1,2.8,24
"contactmusic",7,1,2,1,2.8,24
"cosmicbooknews",7,2,1,1,2.8,24
"cosmopolitan",4,4,2,1,2.8,24
"designntrend",7,1,2,1,2.8,24
"detroitfreepress",6,2,2,1,2.8,24
"dreadcentral",3,1,5,2,2.8,24
"extratv",5,1,1,4,2.8,24
"flavorwire",5,2,3,1,2.8,24
"goldderby",6,1,3,1,2.8,24
"greeleytribune",8,1,1,1,2.8,24
"hopper",7,2,1,1,2.8,24
"indianapolisstar",7,1,2,1,2.8,24
"insider",5,1,2,3,2.8,24
"inverse",4,3,3,1,2.8,24
"looper",4,5,1,1,2.8,24
"maxim",5,3,2,1,2.8,24
"monkeysfightingrobots",8,1,1,1,2.8,24
"multichannelnews",7,1,2,1,2.8,24
"newyorkobserver",8,1,1,1,2.8,24
"nola",6,3,1,1,2.8,24
"ok!magazine",6,1,3,1,2.8,24
"oklahoman",8,1,1,1,2.8,24
"omahaworldherald",7,2,1,1,2.8,24
"polygon",5,4,1,1,2.8,24
"ramascreen",8,1,1,1,2.8,24
"record",8,1,1,1,2.8,24
"redcarpetcrash",6,1,3,1,2.8,24
"romper",6,3,1,1,2.8,24
"seattlepi",5,2,3,1,2.8,24
"showbizjunkies",4,1,5,1,2.8,24
"syracuse",7,2,1,1,2.8,24
"timesheraldrecord",8,1,1,1,2.8,24
"torontostar",5,2,3,1,2.8,24
"tvrecapsreviews",7,1,2,1,2.8,24
"wired",3,4,3,1,2.8,24
"arizonarepublic",5,1,3,1,2.5,25
"arkansasdemocratgazette",6,1,2,1,2.5,25
"bbc",3,5,1,1,2.5,25
"cablefax",6,1,2,1,2.5,25
"cbsnews",2,6,1,1,2.5,25
"charlotteobserver",6,1,2,1,2.5,25
"dailypress",6,1,2,1,2.5,25
"denverpost",5,2,2,1,2.5,25
"fanbolt",7,1,1,1,2.5,25
"filmbook",7,1,1,1,2.5,25
"heroichollywood",7,1,1,1,2.5,25
"meaww",5,3,1,1,2.5,25
"metroboston",7,1,1,1,2.5,25
"minneapolisstartribune",6,2,1,1,2.5,25
"newsobserver",4,3,2,1,2.5,25
"newyorker",3,5,1,1,2.5,25
"newyorkmagazine",6,1,2,1,2.5,25
"philadelphiadailynews",5,1,3,1,2.5,25
"pittsburghpostgazette",5,1,3,1,2.5,25
"playlist",4,2,2,2,2.5,25
"reviewjournal",4,3,2,1,2.5,25
"richmondtimesdispatch",6,1,2,1,2.5,25
"rogerebert",6,2,1,1,2.5,25
"sfchronicle",6,1,2,1,2.5,25
"star",5,1,3,1,2.5,25
"stlouispostdispatch",4,2,3,1,2.5,25
"tampabay",4,3,2,1,2.5,25
"techtimes",4,3,2,1,2.5,25
"tvovermind",5,1,3,1,2.5,25
"tvworthwatching",7,1,1,1,2.5,25
"austinamericanstatesman",5,1,2,1,2.2,26
"baltimoresun",5,2,1,1,2.2,26
"bayareanewsgroup",4,1,3,1,2.2,26
"bostonsundayglobe",6,1,1,1,2.2,26
"closerweekly",6,1,1,1,2.2,26
"dallasmorningnews",6,1,1,1,2.2,26
"detroitnews",4,2,2,1,2.2,26
"eclipsemagazine",4,1,3,1,2.2,26
"fresnobee",4,1,3,1,2.2,26
"gooddayla",6,1,1,1,2.2,26
"grantland",3,3,2,1,2.2,26
"ktla",5,1,2,1,2.2,26
"marysue",3,2,2,2,2.2,26
"miamiherald",5,1,2,1,2.2,26
"milweejournalsentinel",5,1,2,1,2.2,26
"movienewsguide",5,1,2,1,2.2,26
"newsandobserver",4,3,1,1,2.2,26
"observer",3,3,2,1,2.2,26
"sciencefiction",5,1,2,1,2.2,26
"tvequals",5,1,2,1,2.2,26
"wisinstatejournal",5,1,2,1,2.2,26
"arkansasonline",3,2,2,1,2,27
"canada",4,1,2,1,2,27
"columbusdispatch",4,1,2,1,2,27
"faspany",1,5,1,1,2,27
