"OUTLET","CORRELATION","OUTLET_PRESS_SIZE","QUANTITY_OF_SEASONS","OUTLET_SOCIAL_SIZE","FINAL_INDEX","SEASON","PROGRAM"
"wallstreetjournal",6,5,5,10,6.5,"3A","FEAR THE WALKING DEAD"
"newsweek",9,5,2,9,6.2,"3A","FEAR THE WALKING DEAD"
"wrap",8,4,8,5,6.2,"3A","FEAR THE WALKING DEAD"
"huffingtonpost",9,8,6,1,6,"3A","FEAR THE WALKING DEAD"
"losangelestimes",5,5,7,7,6,"3A","FEAR THE WALKING DEAD"
"cnn",9,8,5,1,5.8,"3A","FEAR THE WALKING DEAD"
"salon",7,6,4,6,5.8,"3A","FEAR THE WALKING DEAD"
"dailybeast",5,6,5,6,5.5,"3A","FEAR THE WALKING DEAD"
"gamesradar",9,6,1,6,5.5,"3A","FEAR THE WALKING DEAD"
"nytimes",7,7,7,1,5.5,"3A","FEAR THE WALKING DEAD"
"vulture",6,4,8,4,5.5,"3A","FEAR THE WALKING DEAD"
"washingtonpost",6,7,8,1,5.5,"3A","FEAR THE WALKING DEAD"
"businessinsider",7,8,5,1,5.2,"3A","FEAR THE WALKING DEAD"
"dailymail",6,9,5,1,5.2,"3A","FEAR THE WALKING DEAD"
"eonline",9,7,4,1,5.2,"3A","FEAR THE WALKING DEAD"
"fox",9,7,4,1,5.2,"3A","FEAR THE WALKING DEAD"
"latimes",6,6,8,1,5.2,"3A","FEAR THE WALKING DEAD"
"rollingstone",7,6,7,9,7.2,"3B","FEAR THE WALKING DEAD"
"variety",8,4,10,7,7.2,"3B","FEAR THE WALKING DEAD"
"vanityfair",9,5,6,8,7,"3B","FEAR THE WALKING DEAD"
"independent",8,8,4,7,6.8,"3B","FEAR THE WALKING DEAD"
"people",6,6,6,9,6.8,"3B","FEAR THE WALKING DEAD"
"buzzfeed",6,8,3,9,6.5,"3B","FEAR THE WALKING DEAD"
"verge",8,6,5,7,6.5,"3B","FEAR THE WALKING DEAD"
"wallstreetjournal",6,5,5,10,6.5,"3B","FEAR THE WALKING DEAD"
"newsweek",9,5,2,9,6.2,"3B","FEAR THE WALKING DEAD"
"wrap",8,4,8,5,6.2,"3B","FEAR THE WALKING DEAD"
"avclub",6,6,8,4,6,"3B","FEAR THE WALKING DEAD"
"usweekly",7,5,5,7,6,"3B","FEAR THE WALKING DEAD"
"cnn",9,8,5,1,5.8,"3B","FEAR THE WALKING DEAD"
"salon",7,6,4,6,5.8,"3B","FEAR THE WALKING DEAD"
"dailybeast",5,6,5,6,5.5,"3B","FEAR THE WALKING DEAD"
"gamesradar",9,6,1,6,5.5,"3B","FEAR THE WALKING DEAD"
"nytimes",7,7,7,1,5.5,"3B","FEAR THE WALKING DEAD"
"washingtonpost",6,7,8,1,5.5,"3B","FEAR THE WALKING DEAD"
"businessinsider",7,8,5,1,5.2,"3B","FEAR THE WALKING DEAD"
"cleveland",9,4,7,1,5.2,"3B","FEAR THE WALKING DEAD"
"dailymail",6,9,5,1,5.2,"3B","FEAR THE WALKING DEAD"
"eonline",9,7,4,1,5.2,"3B","FEAR THE WALKING DEAD"
"fox",9,7,4,1,5.2,"3B","FEAR THE WALKING DEAD"
"newyorkdailynews",9,2,5,5,5.2,"3B","FEAR THE WALKING DEAD"
"popsugar",7,7,4,3,5.2,"3B","FEAR THE WALKING DEAD"
"rollingstone",7,6,7,9,7.2,"4A","FEAR THE WALKING DEAD"
"engadget",8,7,5,7,6.8,"4A","FEAR THE WALKING DEAD"
"newyorktimes",7,5,8,7,6.8,"4A","FEAR THE WALKING DEAD"
"people",6,6,6,9,6.8,"4A","FEAR THE WALKING DEAD"
"buzzfeed",6,8,3,9,6.5,"4A","FEAR THE WALKING DEAD"
"verge",8,6,5,7,6.5,"4A","FEAR THE WALKING DEAD"
"wallstreetjournal",6,5,5,10,6.5,"4A","FEAR THE WALKING DEAD"
"huffingtonpost",9,8,6,1,6,"4A","FEAR THE WALKING DEAD"
"indiewire",6,4,8,6,6,"4A","FEAR THE WALKING DEAD"
"usweekly",7,5,5,7,6,"4A","FEAR THE WALKING DEAD"
"salon",7,6,4,6,5.8,"4A","FEAR THE WALKING DEAD"
"dailybeast",5,6,5,6,5.5,"4A","FEAR THE WALKING DEAD"
"gamesradar",9,6,1,6,5.5,"4A","FEAR THE WALKING DEAD"
"nytimes",7,7,7,1,5.5,"4A","FEAR THE WALKING DEAD"
"vulture",6,4,8,4,5.5,"4A","FEAR THE WALKING DEAD"
"washingtonpost",6,7,8,1,5.5,"4A","FEAR THE WALKING DEAD"
"businessinsider",7,8,5,1,5.2,"4A","FEAR THE WALKING DEAD"
"dailymail",6,9,5,1,5.2,"4A","FEAR THE WALKING DEAD"
"eonline",9,7,4,1,5.2,"4A","FEAR THE WALKING DEAD"
"latimes",6,6,8,1,5.2,"4A","FEAR THE WALKING DEAD"
"refinery29",3,6,2,10,5.2,"4A","FEAR THE WALKING DEAD"
"bostonglobe",7,3,5,5,5,"4A","FEAR THE WALKING DEAD"
"parade",7,6,6,1,5,"4A","FEAR THE WALKING DEAD"
"time",7,6,6,1,5,"4A","FEAR THE WALKING DEAD"
"vogue",3,4,3,10,5,"4A","FEAR THE WALKING DEAD"
"yahoo",8,9,10,5,8,"4B","FEAR THE WALKING DEAD"
"mashable",7,7,6,9,7.2,"4B","FEAR THE WALKING DEAD"
"rollingstone",7,6,7,9,7.2,"4B","FEAR THE WALKING DEAD"
"engadget",8,7,5,7,6.8,"4B","FEAR THE WALKING DEAD"
"gamespot",9,7,3,8,6.8,"4B","FEAR THE WALKING DEAD"
"gizmodo",10,8,2,7,6.8,"4B","FEAR THE WALKING DEAD"
"independent",8,8,4,7,6.8,"4B","FEAR THE WALKING DEAD"
"newyorktimes",7,5,8,7,6.8,"4B","FEAR THE WALKING DEAD"
"people",6,6,6,9,6.8,"4B","FEAR THE WALKING DEAD"
"buzzfeed",6,8,3,9,6.5,"4B","FEAR THE WALKING DEAD"
"verge",8,6,5,7,6.5,"4B","FEAR THE WALKING DEAD"
"wallstreetjournal",6,5,5,10,6.5,"4B","FEAR THE WALKING DEAD"
"newsweek",9,5,2,9,6.2,"4B","FEAR THE WALKING DEAD"
"avclub",6,6,8,4,6,"4B","FEAR THE WALKING DEAD"
"huffingtonpost",9,8,6,1,6,"4B","FEAR THE WALKING DEAD"
"losangelestimes",5,5,7,7,6,"4B","FEAR THE WALKING DEAD"
"usweekly",7,5,5,7,6,"4B","FEAR THE WALKING DEAD"
"cnn",9,8,5,1,5.8,"4B","FEAR THE WALKING DEAD"
"salon",7,6,4,6,5.8,"4B","FEAR THE WALKING DEAD"
"dailybeast",5,6,5,6,5.5,"4B","FEAR THE WALKING DEAD"
"gamesradar",9,6,1,6,5.5,"4B","FEAR THE WALKING DEAD"
